id,name,phone,address,transaction_count,avg_transaction_value,days_since_last_transaction,is_fraud
1,Retailer 1,555-7423388,"702 St, City 0",50,100.41187332079235,7.069600470921362,0
2,Retailer 2,555-7550634,"96 St, City 1",50,144.7456676645219,10.560708479500498,0
3,Retailer 3,555-5304572,"384 St, City 2",49,109.81699078070442,38.768774020689534,0
4,Retailer 4,555-3234489,"282 St, City 3",53,126.89661480123618,39.32747631717042,0
5,Retailer 5,555-8204212,"322 St, City 4",42,116.67264586733543,35.918617396134074,0
6,Retailer 6,555-5472471,"396 St, City 5",47,129.88959145098522,51.18862002535789,0
7,Retailer 7,555-5523669,"278 St, City 6",44,103.52390998376794,62.115576945725024,0
8,Retailer 8,555-8404852,"529 St, City 7",49,73.89647788680121,2.21289150811154,0
9,Retailer 9,555-5981505,"263 St, City 8",41,110.92712051066295,20.380719187559457,0
10,Retailer 10,555-2766891,"619 St, City 9",53,66.28066210070708,4.838859217768373,0
11,Retailer 11,555-5521373,"580 St, City 10",59,93.3243624914974,13.111465830891094,0
12,Retailer 12,555-7019877,"640 St, City 11",48,90.6728238251308,32.647717320489726,0
13,Retailer 13,555-4344769,"293 St, City 12",53,92.24172461123425,27.613384803854046,0
14,Retailer 14,555-1103355,"294 St, City 13",58,125.2841617671163,4.128234710279099,0
15,Retailer 15,555-2262752,"608 St, City 14",62,99.49097813989674,42.450889073983,0
16,Retailer 16,555-6664789,"395 St, City 15",56,141.11547219957913,46.39625334364381,0
17,Retailer 17,555-6743066,"513 St, City 16",34,98.70520602746409,4.496230831843567,0
18,Retailer 18,555-7113790,"921 St, City 17",50,57.24871330187837,28.686757296295152,0
19,Retailer 19,555-5721339,"810 St, City 18",38,88.15592436295367,87.13799951044305,0
20,Retailer 20,555-4275709,"180 St, City 19",41,117.01236060143927,2.9595204979095646,0
21,Retailer 21,555-1084654,"920 St, City 20",60,73.0459204372973,5.3955819686561055,0
22,Retailer 22,555-6147581,"693 St, City 21",47,92.8806451561043,43.51213307346654,0
23,Retailer 23,555-2954354,"235 St, City 22",61,116.32757534719372,12.326046872394297,0
24,Retailer 24,555-9242680,"952 St, City 23",39,93.69082805375177,93.4162959367564,0
25,Retailer 25,555-3428388,"831 St, City 24",43,88.90402899682749,29.373964202898083,0
26,Retailer 26,555-9916786,"337 St, City 25",44,125.08506589428215,19.802998426078076,0
27,Retailer 27,555-3663046,"8 St, City 26",52,95.46190013897483,12.359446875077639,0
28,Retailer 28,555-6499720,"443 St, City 27",53,79.15493458490275,8.198575388044606,0
29,Retailer 29,555-7640913,"941 St, City 28",55,116.6723498248251,31.49644684663377,0
30,Retailer 30,555-4416664,"539 St, City 29",45,122.7358525575118,26.89677279089463,0
31,Retailer 31,555-4385659,"820 St, City 30",46,103.61158494116407,13.290935745560905,0
32,Retailer 32,555-4385357,"658 St, City 31",42,88.40825737356666,74.94951377181901,0
33,Retailer 33,555-2465689,"91 St, City 32",47,82.25361269607761,43.03982925661059,0
34,Retailer 34,555-1068148,"854 St, City 33",44,88.9278934420669,9.035884402615974,0
35,Retailer 35,555-2825665,"272 St, City 34",61,74.78888649370985,86.13435840637297,0
36,Retailer 36,555-3745683,"834 St, City 35",46,90.14890148739683,42.26099598447016,0
37,Retailer 37,555-5056518,"5 St, City 36",49,110.98575170974856,68.22194875334642,0
38,Retailer 38,555-3669995,"594 St, City 37",50,114.7334001788919,4.393113936871826,0
39,Retailer 39,555-5997895,"899 St, City 38",49,100.54213398647278,1.0066030271197146,0
40,Retailer 40,555-7397986,"219 St, City 39",55,107.64882430496499,20.372492302978547,0
41,Retailer 41,555-2870928,"118 St, City 40",41,95.29731808808607,17.834526229567512,0
42,Retailer 42,555-5155299,"593 St, City 41",196,6.591057575188178,61.161417684022034,1
43,Retailer 43,555-7249859,"976 St, City 42",52,93.15156128129651,5.667533558757019,0
44,Retailer 44,555-3305413,"582 St, City 43",53,122.48601198566402,0.7159418552122223,0
45,Retailer 45,555-4910197,"115 St, City 44",62,54.47201860330807,22.602702967423106,0
46,Retailer 46,555-6558019,"263 St, City 45",45,77.07552233709163,5.864615199145495,0
47,Retailer 47,555-6414709,"306 St, City 46",58,90.53435582517295,1.5232971032176585,0
48,Retailer 48,555-1271836,"654 St, City 47",50,77.77619647253098,0.6737019248475433,0
49,Retailer 49,555-4584702,"422 St, City 48",56,108.76269080016831,4.609701998803223,0
50,Retailer 50,555-8281369,"207 St, City 49",51,69.33189405849512,14.141253127695347,0
51,Retailer 51,555-3299435,"623 St, City 50",49,124.06718417920177,64.61676279372737,0
52,Retailer 52,555-9585377,"303 St, City 51",40,139.12576131308055,42.885403126297696,0
53,Retailer 53,555-3658505,"112 St, City 52",49,104.9759226811903,22.661418009372635,0
54,Retailer 54,555-2271741,"417 St, City 53",56,87.62191763630508,16.88171858070256,0
55,Retailer 55,555-4769315,"555 St, City 54",47,118.53657884707448,18.25310266276367,0
56,Retailer 56,555-2046797,"859 St, City 55",47,94.34231965133434,64.79207620463463,0
